"Application Date","Check ID","Candidate Name","Father Name","DOB (dd/mm/yyyy)","POS","Address","Pincode","City","State","District","Verification Date"
01/04/23,4328005,"John Snow 1","Bill Noman 1","16/04/81","Not Provided","101 B, Sample Apt. Raja Road, Delhi",,,,,15/04/23
02/04/23,4328006,"John Snow 2","Bill Noman 2","17/04/81","Not Provided","102 B, Sample Apt. Raja Road, Delhi",,,,,16/04/23
03/04/23,4328007,"John Snow 3","Bill Noman 3","18/04/81","Not Provided","103 B, Sample Apt. Raja Road, Delhi",,,,,17/04/23
04/04/23,4328008,"John Snow 4","Bill Noman 4","19/04/81","Not Provided","104 B, Sample Apt. Raja Road, Delhi",,,,,18/04/23
05/04/23,4328009,"John Snow 5","Bill Noman 5","20/04/81","Not Provided","105 B, Sample Apt. Raja Road, Delhi",,,,,19/04/23
06/04/23,4328010,"John Snow 6","Bill Noman 6","21/04/81","Not Provided","106 B, Sample Apt. Raja Road, Delhi",,,,,20/04/23
07/04/23,4328011,"John Snow 7","Bill Noman 7","22/04/81","Not Provided","107 B, Sample Apt. Raja Road, Delhi",,,,,21/04/23
08/04/23,4328012,"John Snow 8","Bill Noman 8","23/04/81","Not Provided","108 B, Sample Apt. Raja Road, Delhi",,,,,22/04/23
09/04/23,4328013,"John Snow 9","Bill Noman 9","24/04/81","Not Provided","109 B, Sample Apt. Raja Road, Delhi",,,,,23/04/23
,4328014,"John Snow 10","Bill Noman 10","25/04/81","Not Provided","110 B, Sample Apt. Raja Road, Delhi",,,,,24/04/23
11/04/23,4328015,"John Snow 11","Bill Noman 11","26/04/81","Not Provided","111 B, Sample Apt. Raja Road, Delhi",,,,,
12/04/23,4328016,"John Snow 12","Bill Noman 12","27/04/81","Not Provided","112 B, Sample Apt. Raja Road, Delhi",,,,,26/04/23
